Node ID,X location,Y location,Connections
0,0.23333333333333334,0.9,[1]
1,0.23333333333333334,0.7666666666666667,"[0, 2]"
2,0.23333333333333334,0.6333333333333334,"[1, 3]"
3,0.23333333333333334,0.5,"[2, 4]"
4,0.23333333333333334,0.3666666666666667,"[3, 5]"
5,0.23333333333333334,0.2333333333333333,"[4, 6]"
6,0.23333333333333334,0.1,"[5, 7]"
7,0.9,0.7666666666666667,"[6, 8]"
8,0.7666666666666667,0.7666666666666667,"[7, 9]"
9,0.6333333333333334,0.7666666666666667,"[8, 10]"
10,0.5,0.7666666666666667,"[9, 11]"
11,0.3666666666666667,0.7666666666666667,"[10, 12]"
12,0.1,0.7666666666666667,[11]
