Node ID,X location,Y location,Connections
0,0.11744026127443866,0.454831549910736,"[1, 5]"
1,0.0915768329392136,0.5641214651852124,"[0, 2]"
2,0.08349754885968369,0.7730930262086337,"[1, 7]"
3,0.2622822868019289,0.09456672826857647,[9]
4,0.26218536846679186,0.24077304987149997,[5]
5,0.293197169668567,0.405240624685745,"[0, 4, 6, 11]"
6,0.2435588541485392,0.5588013061476654,[5]
7,0.2541891490293441,0.7485118477043916,"[2, 8]"
8,0.2948421109144326,0.8873079491058241,"[7, 14]"
9,0.4354984501262029,0.09897312120634512,"[3, 10]"
10,0.464969360434946,0.2063214868026848,"[9, 16]"
11,0.37985589149805205,0.3910884820350667,[5]
12,0.4259620542147444,0.5650021157601688,[18]
13,0.4246196940481945,0.7339196187148787,"[14, 19]"
14,0.38495943642439495,0.8991065226280708,"[8, 13, 20]"
15,0.5866337452857908,0.14007925235154894,"[16, 21]"
16,0.5735832489780375,0.31299623653499425,"[10, 15]"
17,0.5928258179389208,0.4446200698206863,"[18, 23]"
18,0.6115015836109937,0.532238338477409,"[12, 17]"
19,0.5929461962679747,0.7355068247796461,[13]
20,0.5841526813022011,0.8772770215787926,"[14, 26]"
21,0.7250312523391448,0.11861427245622044,"[15, 22]"
22,0.7365052880054856,0.2735871621730243,"[21, 27]"
23,0.7622055048248723,0.4454603485983752,"[17, 29]"
24,0.7231222961264373,0.5989099636889919,"[25, 29]"
25,0.7833995191924631,0.763598057430374,"[24, 26, 30]"
26,0.7543442332501361,0.8678850473095411,"[20, 25]"
27,0.8826908085651923,0.2445931712372341,"[22, 28]"
28,0.8792644618952624,0.38388383568442136,"[27, 29]"
29,0.8670922685564291,0.5485962646721622,"[23, 24, 28]"
30,0.9569829052219708,0.7212672202526821,[25]
