Node ID,X location,Y location,Connections
0,0.0920263938259555,0.2919257042023536,"[4, 5, 7]"
1,0.04722650491966622,0.4112626787161186,[8]
2,0.12200968630276318,0.583402372999214,[13]
3,0.09217070742572664,0.7879192402332651,"[8, 9]"
4,0.2636486751014685,0.1419142294333983,"[0, 5, 11]"
5,0.25976679672293823,0.2277092757333005,"[0, 4, 13, 15, 16, 18]"
6,0.2654796409242453,0.4484449883409854,"[16, 17, 18]"
7,0.2260288495941381,0.6009336136989746,[0]
8,0.2223011424725886,0.7131616838999834,"[1, 3, 18]"
9,0.21412537337813695,0.9263584580862468,"[3, 19, 20]"
10,0.3783930421473528,0.07855186248304452,[23]
11,0.3982658227062131,0.22581697626976155,"[4, 12, 15, 16]"
12,0.3731755283021044,0.4214065600268407,"[11, 13, 16]"
13,0.3905464752956469,0.5413898502012265,"[2, 5, 12, 20, 23, 24, 25]"
14,0.39452521426600135,0.7462925417680815,"[18, 19, 20]"
15,0.5853475609248372,0.06041272428881787,"[5, 11, 17]"
16,0.4903275220498853,0.20463634700757116,"[5, 6, 11, 12, 24]"
17,0.605678442440506,0.3805556950688213,"[6, 15, 25, 29]"
18,0.6306339976894157,0.5317457799656591,"[5, 6, 8, 14, 22]"
19,0.5904041829858993,0.7006740711218089,"[9, 14, 26, 29]"
20,0.5896266944835293,0.9049995055954224,"[9, 13, 14, 30]"
21,0.7183141713848776,0.12922834195551358,[23]
22,0.7121144735949938,0.2301828228055157,"[18, 28]"
23,0.7190745946687573,0.3708995957418352,"[10, 13, 21, 28]"
24,0.7786445460391851,0.6199741410075063,"[13, 16, 29]"
25,0.7761204733565769,0.8174414358479327,"[13, 17]"
26,0.7687492742751278,0.9169275398737209,[19]
27,0.8829387258815424,0.24127802145652485,[28]
28,0.9217376327154521,0.43000728367183466,"[22, 23, 27]"
29,0.917790322119048,0.5835755829277589,"[17, 19, 24, 30]"
30,0.8925242640677862,0.7900003754417532,"[20, 29]"
